地区,年份,GDP_亿元,人口_万人
上海市,2016,30963.9,2467.0
上海市,2017,34378.3,2466.0
上海市,2018,37769.1,2475.0
上海市,2019,40241.2,2481.0
上海市,2020,41603.9,2488.0
上海市,2021,47059.4,2489.0
上海市,2022,48594.5,2475.0
上海市,2023,51404.5,2487.0
上海市,2024,53759.5,2480.0
上海市,2025,56708.7,2485.0
云南省,2016,16773.6,4677.0
云南省,2017,18864.6,4693.0
云南省,2018,21427.5,4703.0
云南省,2019,23902.1,4714.0
云南省,2020,25214.5,4722.0
云南省,2021,27895.3,4690.0
云南省,2022,29301.1,4693.0
云南省,2023,30595.8,4673.0
云南省,2024,31423.4,4655.0
云南省,2025,32765.8,4644.0
内蒙古自治区,2016,13879.0,2436.0
内蒙古自治区,2017,15009.9,2433.0
内蒙古自治区,2018,16252.9,2422.0
内蒙古自治区,2019,17479.4,2415.0
内蒙古自治区,2020,17623.4,2403.0
内蒙古自治区,2021,21584.8,2400.0
内蒙古自治区,2022,23795.7,2401.0
内蒙古自治区,2023,25020.5,2396.0
内蒙古自治区,2024,26337.0,2388.0
内蒙古自治区,2025,26710.3,2374.0
北京市,2016,28438.7,2195.0
北京市,2017,31325.9,2194.0
北京市,2018,35161.4,2192.0
北京市,2019,37767.0,2190.0
北京市,2020,38503.6,2189.0
北京市,2021,44350.7,2189.0
北京市,2022,45222.4,2184.0
北京市,2023,47353.7,2186.0
北京市,2024,49670.2,2183.0
北京市,2025,52073.4,2180.0
吉林省,2016,10603.5,2567.0
吉林省,2017,11083.0,2526.0
吉林省,2018,11437.4,2484.0
吉林省,2019,11949.4,2448.0
吉林省,2020,12499.5,2399.0
吉林省,2021,13431.1,2375.0
吉林省,2022,13121.4,2348.0
吉林省,2023,13942.7,2339.0
吉林省,2024,14305.0,2317.0
吉林省,2025,14973.9,2297.0
四川省,2016,33879.2,8251.0
四川省,2017,38517.1,8289.0
四川省,2018,43539.0,8321.0
四川省,2019,47168.6,8351.0
四川省,2020,49445.1,8371.0
四川省,2021,55131.3,8372.0
四川省,2022,57609.4,8374.0
四川省,2023,61353.4,8368.0
四川省,2024,64537.9,8364.0
四川省,2025,67665.3,8318.0
天津市,2016,11487.0,1443.0
天津市,2017,12468.2,1410.0
天津市,2018,13411.1,1383.0
天津市,2019,14097.2,1385.0
天津市,2020,14230.8,1387.0
天津市,2021,16093.2,1373.0
天津市,2022,16588.5,1363.0
天津市,2023,17211.8,1364.0
天津市,2024,17931.3,1364.0
天津市,2025,18539.8,1363.0
宁夏回族自治区,2016,2853.3,695.0
宁夏回族自治区,2017,3271.6,705.0
宁夏回族自治区,2018,3580.6,710.0
宁夏回族自治区,2019,3841.5,717.0
宁夏回族自治区,2020,4036.2,721.0
宁夏回族自治区,2021,4666.5,725.0
宁夏回族自治区,2022,5168.1,728.0
宁夏回族自治区,2023,5368.8,729.0
宁夏回族自治区,2024,5520.2,729.0
宁夏回族自治区,2025,5696.5,732.0
安徽省,2016,26801.2,6033.0
安徽省,2017,30141.8,6057.0
安徽省,2018,34377.3,6076.0
安徽省,2019,37584.8,6092.0
安徽省,2020,38628.8,6105.0
安徽省,2021,43102.8,6113.0
安徽省,2022,45525.1,6127.0
安徽省,2023,48227.5,6121.0
安徽省,2024,50646.7,6123.0
安徽省,2025,52989.5,6082.0
山东省,2016,59702.6,9973.0
