数据库：分省年度数据 
时间： 
地区	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
北京市	,2180	,2183	,2186	,2184	,2189	,2189	,2190	,2192	,2194	,2195	,
天津市	,1363	,1364	,1364	,1363	,1373	,1387	,1385	,1383	,1410	,1443	,
河北省	,7354	,7378	,7393	,7420	,7448	,7464	,7447	,7426	,7409	,7375	,
山西省	,3424	,3446	,3466	,3481	,3480	,3490	,3497	,3502	,3510	,3514	,
内蒙古自治区	,2374	,2388	,2396	,2401	,2400	,2403	,2415	,2422	,2433	,2436	,
辽宁省	,4131	,4155	,4182	,4197	,4229	,4255	,4277	,4291	,4312	,4327	,
吉林省	,2297	,2317	,2339	,2348	,2375	,2399	,2448	,2484	,2526	,2567	,
黑龙江省	,3001	,3029	,3062	,3099	,3125	,3171	,3255	,3327	,3399	,3463	,
上海市	,2485	,2480	,2487	,2475	,2489	,2488	,2481	,2475	,2466	,2467	,
江苏省	,8518	,8526	,8526	,8515	,8505	,8477	,8469	,8446	,8423	,8381	,
浙江省	,6701	,6670	,6627	,6577	,6540	,6468	,6375	,6273	,6170	,6072	,
安徽省	,6082	,6123	,6121	,6127	,6113	,6105	,6092	,6076	,6057	,6033	,
福建省	,4190	,4193	,4183	,4188	,4187	,4161	,4137	,4104	,4065	,4016	,
江西省	,4474	,4502	,4515	,4528	,4517	,4519	,4516	,4513	,4511	,4496	,
山东省	,10043	,10080	,10123	,10163	,10170	,10165	,10106	,10077	,10033	,9973	,
河南省	,9744	,9785	,9815	,9872	,9883	,9941	,9901	,9864	,9829	,9778	,
湖北省	,5811	,5834	,5838	,5844	,5830	,5745	,5927	,5917	,5904	,5885	,
湖南省	,6492	,6539	,6568	,6604	,6622	,6645	,6640	,6635	,6633	,6625	,
广东省	,12859	,12780	,12706	,12657	,12684	,12624	,12489	,12348	,12141	,11908	,
广西壮族自治区	,4989	,5013	,5027	,5047	,5037	,5019	,4982	,4947	,4907	,4857	,
海南省	,1055	,1048	,1043	,1027	,1020	,1012	,995	,982	,972	,957	,
重庆市	,3187	,3190	,3191	,3213	,3212	,3209	,3188	,3163	,3144	,3110	,
四川省	,8318	,8364	,8368	,8374	,8372	,8371	,8351	,8321	,8289	,8251	,
贵州省	,3857	,3860	,3865	,3856	,3852	,3858	,3848	,3822	,3803	,3758	,
云南省	,4644	,4655	,4673	,4693	,4690	,4722	,4714	,4703	,4693	,4677	,
西藏自治区	,374	,370	,365	,364	,366	,366	,361	,354	,349	,340	,
陕西省	,3936	,3953	,3952	,3956	,3954	,3955	,3944	,3931	,3904	,3874	,
甘肃省	,2443	,2458	,2465	,2492	,2490	,2501	,2509	,2515	,2522	,2520	,
青海省	,592	,593	,594	,595	,594	,593	,590	,587	,586	,582	,
宁夏回族自治区	,732	,729	,729	,728	,725	,721	,717	,710	,705	,695	,
新疆维吾尔自治区	,2639	,2623	,2598	,2587	,2589	,2590	,2559	,2520	,2480	,2428	,
注：1. 常住人口包括：居住在本乡镇街道且户口在本乡镇街道或户口待定的人；居住在本乡镇街道且离开户口登记地所在的乡镇街道半年以上的人；户口在本乡镇街道且外出不满半年或在境外工作学习的人。
数据来源：国家统计局
